_id,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
66c862631f6f777dbd0de174,Jet Airways,24/05/2019,Banglore,Delhi,BLR ? DEL,17:45,20:45,3h,non-stop,No info,7229.0
66c8625c1f6f777dbd0dbc59,Multiple carriers,6/06/2019,Delhi,Cochin,DEL ? HYD ? COK,09:45,16:10,6h 25m,1 stop,No info,9646.0
66c862621f6f777dbd0dd5dc,SpiceJet,9/05/2019,Chennai,Kolkata,MAA ? CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543.0
66c8625f1f6f777dbd0dc819,Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:00,10h,1 stop,No info,10197.0
66c862621f6f777dbd0dd908,IndiGo,3/06/2019,Banglore,Delhi,BLR ? DEL,00:25,03:15,2h 50m,non-stop,No info,3943.0
66c862651f6f777dbd0de967,Air India,18/03/2019,Banglore,New Delhi,BLR ? HYD ? DEL,08:15,12:15,4h,1 stop,No info,
66c8625d1f6f777dbd0dbda4,Jet Airways,18/04/2019,Banglore,Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,No info,7229.0
66c862651f6f777dbd0deb3f,Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,22:00,04:25 22 Mar,6h 25m,1 stop,In-flight meal not included,
66c862631f6f777dbd0de0be,Jet Airways,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,19:00,11h 55m,1 stop,No info,16289.0
66c8625d1f6f777dbd0dbd77,Jet Airways,21/06/2019,Banglore,Delhi,BLR ? DEL,11:10,14:05,2h 55m,non-stop,No info,8016.0
66c862621f6f777dbd0dd4ce,IndiGo,18/05/2019,Banglore,Delhi,BLR ? DEL,01:30,04:15,2h 45m,non-stop,No info,5780.0
66c862641f6f777dbd0de7b6,Air India,21/05/2019,Delhi,Cochin,DEL ? JDH ? BOM ? COK,12:55,19:15 22 May,30h 20m,2 stops,No info,
66c862621f6f777dbd0dd9e1,Jet Airways,24/06/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,18:20,04:25 25 Jun,10h 5m,2 stops,No info,13775.0
66c862621f6f777dbd0dd762,IndiGo,15/05/2019,Banglore,Delhi,BLR ? DEL,00:30,03:25,2h 55m,non-stop,No info,3419.0
66c862601f6f777dbd0dc9ac,Air India,21/05/2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,21:50,9h 50m,2 stops,No info,10151.0
66c862631f6f777dbd0de359,SpiceJet,18/06/2019,Banglore,Delhi,BLR ? DEL,09:30,12:20,2h 50m,non-stop,No info,
66c862601f6f777dbd0dcb21,Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? HYD ? COK,07:10,22:30,15h 20m,1 stop,No info,6513.0
66c862641f6f777dbd0de76f,Jet Airways,18/06/2019,Banglore,Delhi,BLR ? DEL,19:50,22:50,3h,non-stop,In-flight meal not included,
66c862621f6f777dbd0dd95f,SpiceJet,6/03/2019,Kolkata,Banglore,CCU ? BLR,09:00,11:30,2h 30m,non-stop,No info,4096.0
66c862631f6f777dbd0de0bc,Jet Airways,18/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,16:55,08:15 16 Mar,15h 20m,1 stop,No info,13555.0
66c862651f6f777dbd0dec69,Jet Airways,24/06/2019,Banglore,Delhi,BLR ? DEL,11:10,14:05,2h 55m,non-stop,No info,
66c862651f6f777dbd0debf9,Vistara,21/06/2019,Banglore,Delhi,BLR ? DEL,17:00,19:35,2h 35m,non-stop,No info,
66c862651f6f777dbd0deba5,Multiple carriers,6/03/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,21:00,13h,1 stop,No info,
66c8625c1f6f777dbd0db9d4,Air India,27/03/2019,Delhi,Cochin,DEL ? TRV ? COK,05:15,06:50 28 Mar,25h 35m,1 stop,No info,7165.0
66c862641f6f777dbd0de4c3,Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,18:15,9h 50m,1 stop,In-flight meal not included,
66c862601f6f777dbd0dcd17,IndiGo,24/05/2019,Banglore,Delhi,BLR ? DEL,13:00,15:50,2h 50m,non-stop,No info,4990.0
66c862631f6f777dbd0ddfef,Air Asia,27/06/2019,Delhi,Cochin,DEL ? BLR ? COK,07:55,13:25,5h 30m,1 stop,No info,6152.0
66c862651f6f777dbd0dea1b,Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,09:45 10 May,13h 20m,1 stop,No info,
66c8625c1f6f777dbd0db97e,Jet Airways,18/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,19:30,04:25 19 May,8h 55m,2 stops,In-flight meal not included,13029.0
66c862601f6f777dbd0dcb6c,Jet Airways,3/03/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,18:50,9h 50m,1 stop,No info,17024.0
66c862631f6f777dbd0ddcd0,IndiGo,3/05/2019,Chennai,Kolkata,MAA ? CCU,07:55,10:15,2h 20m,non-stop,No info,3850.0
66c862641f6f777dbd0de4af,Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,22:05 13 May,25h 40m,1 stop,No info,
66c862631f6f777dbd0dde54,Air Asia,27/04/2019,Kolkata,Banglore,CCU ? BLR,22:50,01:20 28 Apr,2h 30m,non-stop,No info,4409.0
66c8625f1f6f777dbd0dc6e3,Jet Airways,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,22:35,8h 30m,1 stop,No info,14571.0
66c862611f6f777dbd0dd179,Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,18:15,04:25 19 May,10h 10m,1 stop,In-flight meal not included,12373.0
66c8625f1f6f777dbd0dc85f,Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,19:45,18:10 25 Mar,22h 25m,1 stop,No info,13759.0
66c862621f6f777dbd0dd9ea,Multiple carriers,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,21:00,12h,1 stop,No info,7933.0
66c862651f6f777dbd0dead2,SpiceJet,12/06/2019,Kolkata,Banglore,CCU ? BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,
66c862621f6f777dbd0dd557,Air India,1/04/2019,Kolkata,Banglore,CCU ? DEL ? BLR,10:00,23:15,13h 15m,1 stop,No info,7893.0
66c862641f6f777dbd0de671,Jet Airways,9/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,04:25 10 May,22h 55m,2 stops,No info,
66c862631f6f777dbd0de282,IndiGo,21/03/2019,Banglore,New Delhi,BLR ? DEL,20:00,22:55,2h 55m,non-stop,No info,6144.0
66c862631f6f777dbd0ddfce,Air India,1/04/2019,Kolkata,Banglore,CCU ? DEL ? COK ? BLR,10:00,01:20 02 Apr,15h 20m,2 stops,No info,10408.0
66c862631f6f777dbd0de209,Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,14:25 22 May,21h 25m,1 stop,In-flight meal not included,9314.0
66c8625d1f6f777dbd0dbfbe,Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,19:15,7h 35m,1 stop,No info,6953.0
66c862621f6f777dbd0ddab6,Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,15:00,01:30 25 Jun,10h 30m,1 stop,No info,13377.0
66c862651f6f777dbd0dec98,IndiGo,18/05/2019,Chennai,Kolkata,MAA ? CCU,05:15,07:40,2h 25m,non-stop,No info,
66c8625d1f6f777dbd0dbf29,Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:20,01:30 19 May,15h 10m,1 stop,No info,7670.0
66c862621f6f777dbd0dd4c2,IndiGo,18/03/2019,Kolkata,Banglore,CCU ? BLR,20:25,23:05,2h 40m,non-stop,No info,4462.0
66c8625e1f6f777dbd0dc27d,Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? HYD ? COK,07:10,22:30,15h 20m,1 stop,No info,6723.0
66c8625c1f6f777dbd0dbcb4,Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,04:00,15:30,11h 30m,1 stop,No info,6305.0
66c862601f6f777dbd0dccef,Multiple carriers,6/03/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,07:05,21:20,14h 15m,2 stops,No info,7084.0
66c862621f6f777dbd0ddb75,Multiple carriers,9/03/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,21:00,13h,1 stop,No info,16023.0
66c862601f6f777dbd0dc9c7,SpiceJet,27/03/2019,Mumbai,Hyderabad,BOM ? HYD,22:45,00:10 28 Mar,1h 25m,non-stop,No info,1759.0
66c8625c1f6f777dbd0dbbae,Air India,18/05/2019,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,16:50,05:35 19 May,12h 45m,2 stops,No info,11642.0
66c862611f6f777dbd0dd356,Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,04:25 22 Mar,10h 55m,1 stop,In-flight meal not included,5963.0
66c8625e1f6f777dbd0dc24c,Air India,15/06/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,19:15,13h 20m,2 stops,No info,12646.0
66c862601f6f777dbd0dc9ea,SpiceJet,1/04/2019,Banglore,Delhi,BLR ? DEL,05:55,08:35,2h 40m,non-stop,No info,3971.0
66c862651f6f777dbd0de89f,Multiple carriers,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,17:00,01:30 16 Jun,8h 30m,1 stop,No info,
66c862601f6f777dbd0dcf04,IndiGo,15/05/2019,Delhi,Cochin,DEL ? MAA ? COK,07:15,12:30,5h 15m,1 stop,No info,5636.0
66c8625f1f6f777dbd0dc62f,Jet Airways,24/05/2019,Delhi,Cochin,DEL ? JDH ? BOM ? COK,11:40,19:00,7h 20m,2 stops,No info,21219.0
66c862631f6f777dbd0ddd07,SpiceJet,9/06/2019,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,4h 30m,1 stop,No info,5264.0
66c862631f6f777dbd0de091,Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,22:00,18:50 22 Mar,20h 50m,1 stop,In-flight meal not included,6017.0
66c862601f6f777dbd0dca69,Air India,1/04/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:30,12:00 02 Apr,15h 30m,1 stop,No info,7893.0
66c862651f6f777dbd0deb54,Jet Airways,12/04/2019,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,
66c862621f6f777dbd0dd88c,Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,19:45,04:45 25 Mar,9h,1 stop,No info,13759.0
66c8625f1f6f777dbd0dc70f,Air India,24/04/2019,Kolkata,Banglore,CCU ? BLR,20:45,23:20,2h 35m,non-stop,No info,4145.0
66c862611f6f777dbd0dd29d,Air India,03/03/2019,Banglore,New Delhi,BLR ? CCU ? DEL,05:50,12:55,7h 5m,1 stop,No info,12389.0
66c8625e1f6f777dbd0dc35d,SpiceJet,21/04/2019,Kolkata,Banglore,CCU ? BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,4807.0
66c8625e1f6f777dbd0dc21c,Jet Airways,27/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,04:25 28 May,22h 55m,2 stops,No info,15129.0
66c862621f6f777dbd0dd901,Air India,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:30,20:25 25 May,26h 55m,1 stop,No info,10623.0
66c862641f6f777dbd0de5ae,Air India,1/06/2019,Delhi,Cochin,DEL ? JDH ? BOM ? COK,12:55,19:15 02 Jun,30h 20m,2 stops,No info,
66c862631f6f777dbd0ddcbb,Jet Airways,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,04:25 10 May,7h 30m,1 stop,In-flight meal not included,12373.0
66c8625c1f6f777dbd0dbab5,Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,09:20 13 May,12h 10m,1 stop,No info,14388.0
66c8625c1f6f777dbd0db96b,IndiGo,24/06/2019,Delhi,Cochin,DEL ? MAA ? COK,02:00,07:25,5h 25m,1 stop,No info,5636.0
66c862631f6f777dbd0de3e9,Jet Airways,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,04:25 04 Jun,9h 10m,1 stop,No info,
66c862641f6f777dbd0de709,Jet Airways,6/04/2019,Banglore,Delhi,BLR ? DEL,17:45,20:45,3h,non-stop,In-flight meal not included,
66c862641f6f777dbd0de415,IndiGo,27/05/2019,Chennai,Kolkata,MAA ? CCU,05:15,07:40,2h 25m,non-stop,No info,
66c862641f6f777dbd0de488,Jet Airways,9/04/2019,Delhi,Cochin,DEL ? BOM ? COK,19:45,12:35 10 Apr,16h 50m,1 stop,No info,
66c862601f6f777dbd0dcbf8,Jet Airways,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,04:25 07 Jun,18h 25m,1 stop,No info,14714.0
66c862601f6f777dbd0dc987,IndiGo,6/03/2019,Mumbai,Hyderabad,BOM ? HYD,02:30,04:00,1h 30m,non-stop,No info,3175.0
66c862641f6f777dbd0de498,Air Asia,27/06/2019,Banglore,Delhi,BLR ? DEL,11:10,13:55,2h 45m,non-stop,No info,
66c8625e1f6f777dbd0dc2f5,Air India,3/03/2019,Kolkata,Banglore,CCU ? BLR,14:15,16:45,2h 30m,non-stop,No info,13885.0
66c862601f6f777dbd0dcb24,IndiGo,21/06/2019,Mumbai,Hyderabad,BOM ? HYD,19:05,20:35,1h 30m,non-stop,No info,4049.0
66c862601f6f777dbd0dcb01,Air India,24/03/2019,Banglore,New Delhi,BLR ? DEL,13:20,16:10,2h 50m,non-stop,No info,4441.0
66c862641f6f777dbd0de627,Vistara,24/06/2019,Banglore,Delhi,BLR ? DEL,11:30,14:20,2h 50m,non-stop,No info,
66c862641f6f777dbd0de4bb,Air India,12/06/2019,Kolkata,Banglore,CCU ? BOM ? HBX ? BLR,09:25,17:20 13 Jun,31h 55m,2 stops,No info,
66c862631f6f777dbd0ddc43,Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,14:25 02 May,21h 25m,1 stop,In-flight meal not included,9314.0
66c862601f6f777dbd0dd062,Air India,24/05/2019,Kolkata,Banglore,CCU ? BLR,14:15,16:45,2h 30m,non-stop,No info,5510.0
66c862601f6f777dbd0dca60,Jet Airways,1/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,22:35,6h 5m,1 stop,In-flight meal not included,7064.0
66c862631f6f777dbd0ddc60,Vistara,12/04/2019,Banglore,Delhi,BLR ? DEL,11:30,14:20,2h 50m,non-stop,No info,5403.0
66c862651f6f777dbd0de95f,Vistara,15/05/2019,Delhi,Cochin,DEL ? COK,14:40,17:50,3h 10m,non-stop,No info,
66c862621f6f777dbd0dd619,Air India,9/06/2019,Kolkata,Banglore,CCU ? BOM ? AMD ? BLR,09:25,05:25 10 Jun,20h,2 stops,No info,13007.0
66c862651f6f777dbd0deabe,IndiGo,15/04/2019,Kolkata,Banglore,CCU ? BLR,04:40,07:15,2h 35m,non-stop,No info,
66c862631f6f777dbd0ddd39,IndiGo,27/04/2019,Delhi,Cochin,DEL ? HYD ? COK,05:05,12:10,7h 5m,1 stop,No info,7160.0
66c862621f6f777dbd0ddbff,Air India,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,10:00,23:15,13h 15m,1 stop,No info,10203.0
66c862621f6f777dbd0dd7e9,IndiGo,18/06/2019,Banglore,Delhi,BLR ? DEL,16:55,19:55,3h,non-stop,No info,4823.0
66c8625e1f6f777dbd0dc298,Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,19:50,13h 20m,1 stop,No info,14571.0
66c862641f6f777dbd0de68e,IndiGo,3/03/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,21:00,5h,1 stop,No info,
66c862651f6f777dbd0de8a8,Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:45,19:00,10h 15m,1 stop,No info,
66c8625c1f6f777dbd0db9e3,IndiGo,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,01:35 28 Mar,9h 35m,1 stop,No info,7048.0
66c8625f1f6f777dbd0dc535,SpiceJet,9/05/2019,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,4h 30m,1 stop,No info,4812.0
66c862651f6f777dbd0dec56,Jet Airways,01/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,08:55,20:20,11h 25m,1 stop,No info,
66c8625c1f6f777dbd0dba8b,IndiGo,3/06/2019,Mumbai,Hyderabad,BOM ? HYD,19:05,20:35,1h 30m,non-stop,No info,2754.0
66c862651f6f777dbd0dea12,Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,21:00,11h,1 stop,No info,
66c862601f6f777dbd0dcf29,Jet Airways,27/03/2019,Delhi,Cochin,DEL ? IXC ? BOM ? COK,06:20,04:25 28 Mar,22h 5m,2 stops,No info,12273.0
66c862631f6f777dbd0de0fa,Vistara,24/03/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,18:45 25 Mar,22h 25m,1 stop,No info,12102.0
66c862601f6f777dbd0dce4f,SpiceJet,24/05/2019,Kolkata,Banglore,CCU ? BLR,09:00,11:25,2h 25m,non-stop,No info,3873.0
66c862621f6f777dbd0dda7b,Air India,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,21:00,07:40 25 Jun,10h 40m,1 stop,No info,8372.0
66c862651f6f777dbd0deb58,Air India,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,04:00,19:15,15h 15m,1 stop,No info,
66c862601f6f777dbd0dc8b6,Air India,1/04/2019,Kolkata,Banglore,CCU ? IXR ? BBI ? BLR,05:50,13:15,7h 25m,2 stops,No info,5562.0
66c862601f6f777dbd0dcda1,Air India,21/03/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,12:00,07:40 22 Mar,19h 40m,2 stops,No info,9706.0
66c8625f1f6f777dbd0dc518,Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,21:05 13 May,28h 5m,1 stop,In-flight meal not included,10703.0
66c8625f1f6f777dbd0dc625,Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,21:00,9h 20m,1 stop,No info,7215.0
66c862611f6f777dbd0dd39c,SpiceJet,1/06/2019,Banglore,Delhi,BLR ? DEL,21:10,00:05 02 Jun,2h 55m,non-stop,No check-in baggage included,3573.0
66c862621f6f777dbd0dd71c,Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,06:40,19:15,12h 35m,1 stop,No info,7564.0
66c862651f6f777dbd0de82f,Multiple carriers,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:00,11h 30m,1 stop,No info,
66c862611f6f777dbd0dd1d6,Jet Airways,6/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,12:35 07 Jun,26h 55m,2 stops,In-flight meal not included,11733.0
66c862601f6f777dbd0dc9ec,Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,12:50,19:15,6h 25m,1 stop,No info,8266.0
66c8625e1f6f777dbd0dc48f,Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,18:55,20:20 13 Mar,25h 25m,1 stop,In-flight meal not included,11087.0
66c862621f6f777dbd0dd9fa,SpiceJet,6/04/2019,Banglore,Delhi,BLR ? DEL,09:30,12:20,2h 50m,non-stop,No info,4423.0
66c862621f6f777dbd0dd54b,IndiGo,3/03/2019,Mumbai,Hyderabad,BOM ? HYD,09:10,10:40,1h 30m,non-stop,No info,5755.0
66c8625e1f6f777dbd0dc1f4,Air Asia,12/05/2019,Banglore,Delhi,BLR ? DEL,23:55,02:45 13 May,2h 50m,non-stop,No info,4483.0
66c8625c1f6f777dbd0dbcb0,Air India,1/03/2019,Kolkata,Banglore,CCU ? BLR,14:15,16:45,2h 30m,non-stop,No info,6535.0
66c8625f1f6f777dbd0dc6c9,IndiGo,27/05/2019,Mumbai,Hyderabad,BOM ? HYD,16:55,18:25,1h 30m,non-stop,No info,3175.0
66c862631f6f777dbd0de231,GoAir,9/03/2019,Delhi,Cochin,DEL ? AMD ? COK,06:00,13:20,7h 20m,1 stop,No info,8422.0
66c862651f6f777dbd0deb39,SpiceJet,21/06/2019,Mumbai,Hyderabad,BOM ? HYD,13:15,14:45,1h 30m,non-stop,No info,
66c862621f6f777dbd0dd5b0,SpiceJet,21/05/2019,Kolkata,Banglore,CCU ? BLR,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841.0
66c862601f6f777dbd0dce4a,Air India,15/05/2019,Delhi,Cochin,DEL ? COK,05:10,08:00,2h 50m,non-stop,No info,6094.0
66c8625c1f6f777dbd0dbc37,Vistara,12/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,09:05 13 Jun,12h 45m,1 stop,No info,7927.0
66c8625f1f6f777dbd0dc4d2,Jet Airways,15/04/2019,Banglore,Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,No info,7229.0
66c862651f6f777dbd0dea7e,IndiGo,9/06/2019,Banglore,Delhi,BLR ? DEL,18:15,21:20,3h 5m,non-stop,No info,
66c862641f6f777dbd0de755,Jet Airways,1/04/2019,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,non-stop,In-flight meal not included,
66c8625e1f6f777dbd0dc1bf,Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:30,19:15,10h 45m,1 stop,No info,8099.0
66c862611f6f777dbd0dd3f8,Air India,24/03/2019,Banglore,New Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info,4441.0
66c8625e1f6f777dbd0dc0f7,Jet Airways,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,02:15,19:00,16h 45m,1 stop,In-flight meal not included,10262.0
66c862651f6f777dbd0de847,Jet Airways,1/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,04:40 02 Apr,8h 40m,1 stop,In-flight meal not included,
66c862641f6f777dbd0de4d7,SpiceJet,9/06/2019,Kolkata,Banglore,CCU ? BLR,22:20,00:40 10 Jun,2h 20m,non-stop,No info,
66c862601f6f777dbd0dcccc,SpiceJet,6/06/2019,Kolkata,Banglore,CCU ? BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,3841.0
66c862601f6f777dbd0dcf34,SpiceJet,6/05/2019,Kolkata,Banglore,CCU ? KNU ? BLR,11:35,18:50,7h 15m,1 stop,No info,8479.0
66c862621f6f777dbd0dd889,Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,21:05 10 Jun,28h 5m,1 stop,In-flight meal not included,10539.0
66c862631f6f777dbd0de280,IndiGo,9/06/2019,Delhi,Cochin,DEL ? MAA ? COK,02:00,07:25,5h 25m,1 stop,No info,5636.0
